Country,Latitude,Longitude,Capital,elevation,dis
Afghanistan,34.5289,69.1725,Kabul,1800,0
Albania,41.3275,19.8189,Tirane,110,1
Algeria,36.7525,3.042,Algiers,186,1
Andorra,42.5078,1.5211,Andorra la Vella,1045,0
Angola,-8.8368,13.2343,Luanda,75,1
Antigua and Barbuda,17.1172,-61.8457,Saint John’s,2,1
Argentina,-34.6051,-58.4004,Buenos Aires,27,1
Armenia,40.182,44.5146,Yerevan,1000,0
Australia,-35.2835,149.1281,Canberra,568,0
Austria,48.2064,16.3707,Vienna,196,0
Azerbaijan,40.3777,49.892,Baku,-15,1
Bahamas,25.0582,-77.3431,Nassau,3,1
Bahrain,26.2154,50.5832,Manama,4,1
Bangladesh,23.7104,90.4074,Dhaka,27,0
Barbados,13.1,-59.6167,Bridgetown,6,1
Belarus,53.9,27.5667,Minsk,226,0
Belgium,50.8467,4.3499,Brussels,28,0
Belize,17.25,-88.7667,Belmopan,74,0
Benin,6.3654,2.4183,Porto-Novo,8,1
Bhutan,27.4661,89.6419,Thimphu,2307,0
Bolivia,-16.5,-68.15,La Paz,3767,0
Bosnia and Herzegovina,43.8486,18.3564,Sarajevo,509,0
Botswana,-24.6545,25.9086,Gaborone,1007,0
Brazil,-15.7797,-47.9297,Brasilia,1134,0
Brunei,4.9403,114.9481,Bandar Seri Begawan,11,1
Bulgaria,42.6975,23.3242,Sofia,559,0
Burkina Faso,12.3642,-1.5383,Ouagadougou,295,0
Burundi,-3.3822,29.3644,Gitega,805,0
Cape Verde,14.9215,-23.5087,Praia,10,1
Cambodia,11.5625,104.916,Phnom Penh,19,0
Cameroon,3.8667,11.5167,Yaounde,729,0
Canada,45.4166,-75.698,Ottawa,74,0
Central Africa,4.3612,18.555,Bangui,347,0
Chad,12.1067,15.0444,N’Djamena,296,0
Chile,-33.4569,-70.6483,Santiago,549,0
China,39.9075,116.3972,Beijing,47,0
Colombia,4.6097,-74.0818,Bogota,2582,1
Comoros,-11.7022,43.2551,Moroni,17,1
Congo,-4.2658,15.2832,Brazzaville,286,0
Costa Rica,9.9278,-84.0807,San Jose,1152,0
Ivory Coast,5.3453,-4.0268,Abidjan,42,1
Croatia,45.8144,15.978,Zagreb,137,0
Cuba,23.1195,-82.3785,Havana,17,1
Cyprus,35.1595,33.3669,Nicosia,162,1
Czechia,50.088,14.4208,Prague,205,0
North Korea,39.0339,125.7543,Pyongyang,40,1
Congo (Dem. Republic),-4.3276,15.3136,Kinshasa,283,0
Denmark,55.6759,12.5655,Copenhagen,11,1
Djibouti,11.5877,43.1447,Djibouti,4,1
Dominica,15.3017,-61.3881,Roseau,17,1
Dominican Republic,18.4896,-69.9018,Santo Domingo,48,1
Ecuador,-0.2299,-78.525,Quito,2858,0
Egypt,30.0392,31.2394,Cairo,23,0
El Salvador,13.6894,-89.1872,San Salvador,649,1
Equatorial Guinea,3.75,8.7833,Malabo,38,1
Eritrea,15.3333,38.9333,Asmara,2334,0
Estonia,59.437,24.7535,Tallinn,10,1
Ethiopia,9.025,38.7469,Addis Ababa,2410,0
Fiji,-18.1416,178.4415,Suva,53,1
Finland,60.1692,24.9402,Helsinki,22,1
France,48.8534,2.3488,Paris,43,0
Gabon,0.3925,9.4537,Libreville,5,1
Gambia,13.4531,-16.6794,Banjul,16,1
Georgia,41.6941,44.8337,Tbilisi,491,0
Germany,52.5244,13.4105,Berlin,46,0
Ghana,5.556,-0.1969,Accra,28,1
Greece,37.9534,23.749,Athens,121,1
Grenada,12.0564,-61.7485,Saint George’s,53,1
Guatemala,14.6127,-90.5307,Guatemala City,1536,0
Guinea,9.5716,-13.6476,Conakry,54,1
Guinea-Bissau,11.8636,-15.5977,Bissau,12,1
Guyana,6.8045,-58.1553,Georgetown,3,1
Haiti,18.5392,-72.335,Port-au-Prince,40,1
Honduras,14.0818,-87.2068,Tegucigalpa,941,0
Hungary,47.498,19.0399,Budapest,136,0
Iceland,64.1355,-21.8954,Reykjavik,37,1
India,28.6667,77.2167,New Delhi,225,0
Indonesia,-6.2118,106.8416,Jakarta,15,1
Iran,35.6944,51.4215,Tehran,1183,0
Iraq,33.3406,44.4009,Baghdad,42,0
Ireland,53.3331,-6.2489,Dublin,14,1
Israel,31.769,35.2163,Jerusalem*,792,0
Italy,41.8947,12.4811,Rome,32,1
Jamaica,17.997,-76.7936,Kingston,62,1
Japan,35.6895,139.6917,Tokyo,40,1
Jordan,31.9552,35.945,Amman,780,0
Kazakhstan,51.1801,71.446,Nur Sultan,357,0
Kenya,-1.2833,36.8167,Nairobi,1677,0
Kiribati,1.3272,172.9813,Tarawa Atoll,0,1
Kuwait,29.3697,47.9783,Kuwait City,11,1
Kyrgyzstan,42.87,74.59,Bishkek,764,0
Laos,17.9667,102.6,Vientiane,178,0
Latvia,56.946,24.1059,Riga,6,1
Lebanon,33.9,35.4833,Beirut,35,1
Lesotho,-29.3167,27.4833,Maseru,1546,0
Liberia,6.3005,-10.7969,Monrovia,23,1
Libya,32.8752,13.1875,Tripoli,21,1
Liechtenstein,47.1415,9.5215,Vaduz,464,0
Lithuania,54.6892,25.2798,Vilnius,100,0
Luxembourg,49.6117,6.13,Luxembourg,316,0
Madagascar,-18.9137,47.5361,Antananarivo,1274,0
Malawi,-13.9669,33.7873,Lilongwe,1057,0
Malaysia,3.1412,101.6865,Kuala Lumpur,47,1
Maldives,4.1748,73.5089,Male,5,1
Mali,12.65,-8,Bamako,343,0
Malta,35.8997,14.5147,Valletta,44,1
Marshall Islands,7.0897,171.3803,Majuro,4,1
Mauritania,18.0858,-15.9785,Nouakchott,5,1
Mauritius,-20.1619,57.4989,Port Louis,4,1
Mexico,19.4273,-99.1419,Mexico City,2234,0
Micronesia,6.9174,158.1588,Palikir,82,1
Monaco,43.7333,7.4167,Monte Carlo,65,1
Mongolia,47.9077,106.8832,Ulaanbaatar,1285,0
Montenegro,42.4411,19.2636,Podgorica,49,1
